"MTroom","a1","time","date.ambiguity"
"",47,10.5166666666667,NA
"CB 114",9,0.633333333333333,NA
"CB 114",36,0.75,1
"CB 114",19,2.61666666666667,NA
"CB 114",11,3.46666666666667,NA
"CB 114",40,5.2,NA
"CB 114",27,5.5,NA
"CB 114",21,6.46666666666667,1
"CB 114",36,6.51666666666667,1
"CB 114",42,7,1
"CB 114",22,7.26666666666667,1
"CB 114",30,7.35,NA
"CB 114",23,7.5,NA
"CB 114",46,7.5,NA
"CB 114",28,7.73333333333333,1
"CB 114",49,8.55,1
"CB 114",40,9.3,NA
"CB 114",49,10.0333333333333,NA
"CB 114",38,10.0666666666667,NA
"CB 114",45,10.2,NA
"CB 114",46,10.95,NA
"CB 114",48,11,NA
"CB 114",43,11,NA
"CB 114",46,11.15,NA
"CB 114",38,11.55,NA
"CB 114",21,12.3666666666667,NA
"CB 114",14,12.7666666666667,NA
"CB 114",23,13.7833333333333,NA
"CB 114",42,15.8333333333333,NA
"CB 114",40,17.75,NA
"CB 114",40,18,NA
"CB 114",36,32.5,NA
"CB 114",40,36,NA
"CB 114",40,36.4333333333333,NA
"CB 114",49,150.5,NA
"ES 1050",49,0.333333333333333,1
"ES 1050",24,0.383333333333333,NA
"ES 1050",47,0.533333333333333,1
"ES 1050",25,0.583333333333333,NA
"ES 1050",21,0.633333333333333,1
"ES 1050",30,0.65,NA
"ES 1050",13,0.666666666666667,NA
"ES 1050",24,0.7,NA
"ES 1050",30,0.75,1
"ES 1050",30,0.9,NA
"ES 1050",25,1,NA
"ES 1050",42,1,1
"ES 1050",45,1.45,1
"ES 1050",46,1.51666666666667,NA
"ES 1050",20,1.75,NA
"ES 1050",42,2.11666666666667,1
"ES 1050",36,2.3,1
"ES 1050",38,2.33333333333333,1
"ES 1050",47,2.85,NA
"ES 1050",26,3,1
"ES 1050",40,3,NA
"ES 1050",46,3.7,NA
"ES 1050",35,4,1
"ES 1050",39,4.46666666666667,NA
"ES 1050",23,4.48333333333333,1
"ES 1050",48,4.55,1
"ES 1050",19,4.63333333333333,NA
"ES 1050",47,4.63333333333333,1
"ES 1050",26,4.75,1
"ES 1050",49,5,NA
"ES 1050",44,5.66666666666667,NA
"ES 1050",49,5.66666666666667,NA
"ES 1050",27,5.75,1
"ES 1050",50,6,1
"ES 1050",49,6.05,1
"ES 1050",6,6.15,NA
"ES 1050",27,6.18333333333333,NA
"ES 1050",26,6.46666666666667,NA
"ES 1050",47,6.5,NA
"ES 1050",37,6.5,NA
"ES 1050",49,6.65,NA
"ES 1050",48,6.66666666666667,1
"ES 1050",26,6.73333333333333,1
"ES 1050",5,6.95,NA
"ES 1050",34,7.1,1
"ES 1050",36,7.5,NA
"ES 1050",45,7.5,1
"ES 1050",40,7.56666666666667,NA
"ES 1050",22,7.58333333333333,NA
"ES 1050",23,7.7,1
